time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
2870	188.0000	4.0000	43.9858	12.0000	32.0000	18.9324
2880	190.0000	35.0000	8.6270	12.0000	42.0000	20.5751
2890	193.0000	5.0000	33.2682	12.0000	52.0000	22.2179
2900	195.0000	35.0000	57.9094	13.0000	2.0000	23.8606
2910	198.0000	6.0000	22.5506	13.0000	12.0000	25.5034
2920	200.0000	36.0000	47.1917	13.0000	22.0000	27.1461
2930	203.0000	7.0000	11.8329	13.0000	32.0000	28.7889
2940	205.0000	37.0000	36.4741	13.0000	42.0000	30.4316
2950	208.0000	8.0000	1.1153	13.0000	52.0000	32.0744
2960	210.0000	38.0000	25.7565	14.0000	2.0000	33.7171
2970	213.0000	8.0000	50.3977	14.0000	12.0000	35.3598
2980	215.0000	39.0000	15.0388	14.0000	22.0000	37.0026
2990	218.0000	9.0000	39.6800	14.0000	32.0000	38.6453
3000	220.0000	40.0000	4.3212	14.0000	42.0000	40.2881
3010	223.0000	10.0000	28.9624	14.0000	52.0000	41.9308
3020	225.0000	40.0000	53.6036	15.0000	2.0000	43.5736
3030	228.0000	11.0000	18.2448	15.0000	12.0000	45.2163
3040	230.0000	41.0000	42.8859	15.0000	22.0000	46.8591
3050	233.0000	12.0000	7.5271	15.0000	32.0000	48.5018
3060	235.0000	42.0000	32.1683	15.0000	42.0000	50.1446
3070	238.0000	12.0000	56.8095	15.0000	52.0000	51.7873
3080	240.0000	43.0000	21.4507	16.0000	2.0000	53.4300
3090	243.0000	13.0000	46.0919	16.0000	12.0000	55.0728
3100	245.0000	44.0000	10.7331	16.0000	22.0000	56.7155
3110	248.0000	14.0000	35.3742	16.0000	32.0000	58.3583
3120	250.0000	45.0000	0.0154	16.0000	43.0000	0.0010
3130	253.0000	15.0000	24.6566	16.0000	53.0000	1.6438
3140	255.0000	45.0000	49.2978	17.0000	3.0000	3.2865
3150	258.0000	16.0000	13.9390	17.0000	13.0000	4.9293
3160	260.0000	46.0000	38.5802	17.0000	23.0000	6.5720
