Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
51300	-26216545.820504	2804729.482995	1220489.772422	-7549080.776520	-25262326.924908	1220489.772422
51600	-26221836.777355	2148107.785065	2187838.107873	-7458176.688325	-25230431.853622	2187838.107873
51900	-26176017.287469	1487298.649682	3150921.972646	-7354187.054347	-25165688.368826	3150921.972646
52200	-26079213.815702	823591.921483	4107868.532983	-7235853.676061	-25068827.624699	4107868.532983
52500	-25931653.561591	158281.437921	5056819.892248	-7101973.814719	-24940683.178033	5056819.892248
52800	-25733663.709179	-507337.858341	5995936.842441	-6951406.240405	-24782186.967265	5995936.842441
53100	-25485670.444522	-1171972.446162	6923402.552709	-6783076.993973	-24594364.881314	6923402.552709
53400	-25188197.758690	-1834333.074696	7837426.186602	-6595984.836407	-24378331.940428	7837426.186602
53700	-24841866.068466	-2493137.018317	8736246.440153	-6389206.361856	-24135287.112884	8736246.440153
54000	-24447390.623272	-3147110.869150	9618134.993291	-6161900.752339	-23866507.792886	9618134.993291
54300	-24005579.737284	-3794992.953926	10481399.867491	-5913314.153958	-23573343.966439	10481399.867491
54600	-23517332.796065	-4435536.032641	11324388.683008	-5642783.656424	-23257212.093124	11324388.683008
54900	-22983638.165095	-5067509.412292	12145491.809473	-5349740.859662	-22919588.732832	12145491.809473
55200	-22405570.853424	-5689701.546666	12943145.404098	-5033715.013317	-22562003.947404	12943145.404098
55500	-21784290.066105	-6300922.259825	13715834.332157	-4694335.717078	-22186034.507859	13715834.332157
55800	-21121036.527394	-6900005.205105	14462094.964916	-4331335.171835	-21793296.938536	14462094.964916
56100	-20417129.792907	-7485809.768799	15180517.850618	-3944549.973828	-21385440.429859	15180517.850618
56400	-19673965.292761	-8057223.395982	15869750.254581	-3533922.446066	-20964139.651765	15869750.254581
56700	-18893011.329520	-8613163.553672	16528498.564943	-3099501.503440	-20531087.499931	16528498.564943
57000	-18075805.848846	-9152579.878528	17155530.561023	-2641443.050053	-20087987.806929	17155530.561023
57300	-17223953.284739	-9674455.818486	17749677.541702	-2160009.909371	-19636548.050259	17749677.541702
57600	-16339121.117793	-10177810.622088	18309836.311650	-1655571.289886	-19178472.088910	18309836.311650
57900	-15423036.453255	-10661700.992278	18834971.023669	-1128601.790917	-18715452.959646	18834971.023669
58200	-14477482.377931	-11125222.870368	19324114.875769	-579679.955209	-18249165.763623	19324114.875769
58500	-13504294.472039	-11567512.780815	19776371.662037	-9486.376821	-17781260.673262	19776371.662037
58800	-12505357.048251	-11987749.412782	20190917.176669	581198.625369	-17313356.088459	20190917.176669
59100	-11482599.311805	-12385155.071934	20567000.470934	1191497.756436	-16847031.970282	20567000.470934
59400	-10437991.707783	-12758996.789386	20903944.963129	1820439.902716	-16383823.379294	20903944.963129
59700	-9373541.963065	-13108587.628277	21201149.401923	2466963.682319	-15925214.244451	21201149.401923
60000	-8291291.250492	-13433287.730245	21458088.683757	3129921.371995	-15472631.387361	21458088.683757
60300	-7193310.149651	-13732505.391894	21674314.525253	3808083.192134	-15027438.825337	21674314.525253
60600	-6081694.881148	-14005697.852918	21849455.991836	4500141.930341	-14590932.375328	21849455.991836
60900	-4958563.232198	-14252372.188092	21983219.883980	5204717.882862	-14164334.579338	21983219.883980
61200	-3826050.652834	-14472085.994621	22075390.982738	5920364.091985	-13748789.970470	22075390.982738
61500	-2686306.161859	-14664448.051069	22125832.156368	6645571.856573	-13345360.697143	22125832.156368
61800	-1541488.577747	-14829118.787527	22134484.330070	7378776.491972	-12955022.521456	22134484.330070
62100	-393762.442917	-14965810.762679	22101366.320980	8118363.314746	-12578661.206009	22101366.320980
62400	754705.841971	-15074288.997577	22026574.540718	8862673.827003	-12217069.301863	22026574.540718
62700	1901752.058746	-15154371.222979	21910282.567898	9610012.074485	-11870943.348573	21910282.567898
63000	3045217.849415	-15205928.042580	21752740.593114	10358651.152128	-11540881.495580	21752740.593114
63300	4182954.692477	-15228883.005128	21554274.738998	11106839.830394	-11227381.552489	21554274.738998
63600	5312827.639280	-15223212.597962	21315286.258033	11852809.275443	-10930839.474049	21315286.258033
63900	6432719.207845	-15188946.097576	21036250.610856	12594779.835984	-10651548.283941	21036250.610856
64200	7540532.889128	-15126165.441981	20717716.427821	13330967.869619	-10389697.439742	20717716.427821
64500	8634196.937372	-15035004.915296	20360304.356671	14059592.581470	-10145372.639749	20360304.356671
64800	9711667.899951	-14915650.819310	19964705.799152	14778882.848032	-9918556.070653	19964705.799152
65100	10770934.284295	-14768340.948203	19531681.539443	15487083.999367	-9709127.093387	19531681.539443
65400	11810019.825985	-14593364.188598	19062060.267307	16182464.533079	-9516863.362835	19062060.267307
65700	12826987.019218	-14391059.839012	18556736.998833	16863322.733879	-9341442.375470	18556736.998833
66000	13819940.375077	-14161816.980348	18016671.397690	17527993.173027	-9182443.437445	18016671.397690
66300	14787029.793150	-13906073.599633	17442885.999775	18174853.062482	-9039350.044063	17442885.999775
66600	15726453.535449	-13624315.936909	16836464.344155	18802328.439238	-8911552.660136	16836464.344155
66900	16636461.433317	-13317077.465063	16198549.013198	19408900.156019	-8798351.889214	16198549.013198
67200	17515357.818453	-12984937.981236	15530339.584777	19993109.655301	-8698962.018315	15530339.584777
67500	18361504.539783	-12628522.406885	14833090.499424	20553564.504474	-8612514.923417	14833090.499424
67800	19173323.594965	-12248499.900135	14108108.845327	21088943.670895	-8538064.319662	14108108.845327
68100	19949299.957551	-11845582.523581	13356752.064046	21598002.516562	-8474590.339002	13356752.064046
68400	20687984.131628	-11420524.078866	12580425.579839	22079577.493199	-8421004.416832	12580425.579839
68700	21387994.760738	-10974118.612116	11780580.355487	22532590.519648	-8376154.468012	11780580.355487
69000	22048020.873530	-10507199.309573	10958710.377551	22956053.024650	-8338830.331658	10958710.377551
69300	22666824.279952	-10020636.882652	10116350.073964	23349069.639293	-8307769.463077	10116350.073964
69600	23243241.704205	-9515338.168258	9255071.666947	23710841.524722	-8281662.850293	9255071.666947
69900	23776186.936402	-8992244.370319	8376482.464224	24040669.321991	-8259161.131796	8376482.464224
70200	24264652.651299	-8452329.756239	7482222.091581	24337955.712318	-8238880.891337	7482222.091581
70500	24707712.325173	-7896599.790522	6573959.669855	24602207.577439	-8219411.104924	6573959.669855
70800	25104521.903686	-7326089.524380	5653390.939496	24833037.751161	-8199319.714544	5653390.939496
71100	25454321.449214	-6741861.606414	4722235.335925	25030166.354731	-8177160.302601	4722235.335925
71400	25756436.492335	-6145004.798271	3782233.018957	25193421.710152	-8151478.840609	3782233.018957
71700	26010279.410540	-5536631.948794	2835141.859682	25322740.827094	-8120820.485310	2835141.859682
72000	26215350.649897	-4917877.910089	1882734.388269	25418169.460645	-8083736.395102	1882734.388269
72300	26371239.699773	-4289897.931073	926794.706245	25479861.738722	-8038790.539473	926794.706245
72600	26477626.059889	-3653865.435942	-30884.633041	25508079.359552	-7984566.474021	-30884.633041
72900	26534279.992505	-3010970.109357	-988505.771997	25503190.361284	-7919674.053660	-988505.771997
73200	26541063.179260	-2362415.593710	-1944268.720465	25465667.467371	-7842756.056652	-1944268.720465
73500	26497929.159118	-1709417.741157	-2896374.547442	25396086.013025	-7752494.692321	-2896374.547442
73800	26404923.693036	-1053202.245808	-3843028.588645	25295121.459652	-7647617.965556	-3843028.588645
74100	26262184.937577	-395002.599452	-4782443.665572	25163546.505793	-7526905.871597	-4782443.665572
74400	26069943.479230	263942.329334	-5712843.311553	25002227.804713	-7389196.395054	-5712843.311553
74700	25828522.198746	922390.154823	-6632465.000155	24812122.300358	-7233391.287696	-6632465.000155
